Entity,Code,Year,Health expenditure per capita - Total
Argentina,ARG,2013,1955.837
Argentina,ARG,2014,1859.764
Argentina,ARG,2015,1986.572
Argentina,ARG,2016,1729.939
Argentina,ARG,2017,2037.97
Argentina,ARG,2018,1783.826
Argentina,ARG,2019,1698.412
Argentina,ARG,2020,1617.303
Argentina,ARG,2021,1775.201
Australia,AUS,2013,4174.57
Australia,AUS,2014,4634.114
Australia,AUS,2015,4776.158
Australia,AUS,2016,4901.922
Australia,AUS,2017,4994.494
Australia,AUS,2018,5073.085
Australia,AUS,2019,5081.171
Australia,AUS,2020,5442.839
Australia,AUS,2021,5763.229
Australia,AUS,2022,5616.192
Australia,AUS,2023,5480.435
Austria,AUT,2013,4878.745
Austria,AUT,2014,4922.505
Austria,AUT,2015,4951.066
Austria,AUT,2016,4992.715
Austria,AUT,2017,5050.25
Austria,AUT,2018,5118.006
Austria,AUT,2019,5224.7
Austria,AUT,2020,5262.412
Austria,AUT,2021,5869.34
Austria,AUT,2022,5518.808
Austria,AUT,2023,5343.133
Belgium,BEL,2013,4575.546
Belgium,BEL,2014,4650.837
Belgium,BEL,2015,4832.936
Belgium,BEL,2016,4894.724
Belgium,BEL,2017,4942.588
Belgium,BEL,2018,5008.136
Belgium,BEL,2019,5065.355
Belgium,BEL,2020,5014.056
Belgium,BEL,2021,5278.667
Belgium,BEL,2022,5140.813
Belgium,BEL,2023,5203.652
Brazil,BRA,2013,1299.913
Brazil,BRA,2014,1357.322
Brazil,BRA,2015,1360.799
Brazil,BRA,2016,1334.801
Brazil,BRA,2017,1385.726
Brazil,BRA,2018,1403.285
Brazil,BRA,2019,1430.291
Bulgaria,BGR,2013,1306.668
Bulgaria,BGR,2014,1422.125
Bulgaria,BGR,2015,1436.627
Bulgaria,BGR,2016,1528.951
Bulgaria,BGR,2017,1597.643
Bulgaria,BGR,2018,1635.482
Bulgaria,BGR,2019,1696.609
Bulgaria,BGR,2020,2034.811
Bulgaria,BGR,2021,2248.064
Bulgaria,BGR,2022,2174.024
Bulgaria,BGR,2023,2293.405
Canada,CAN,2013,4517.606
Canada,CAN,2014,4531.371
Canada,CAN,2015,4646.018
Canada,CAN,2016,4762.49
Canada,CAN,2017,4855.691
Canada,CAN,2018,4931.373
Canada,CAN,2019,4993.325
Canada,CAN,2020,5493.937
Canada,CAN,2021,5759.107
Canada,CAN,2022,5432.467
Canada,CAN,2023,5306.825
Chile,CHL,2013,1628.081
Chile,CHL,2014,1716.233
Chile,CHL,2015,1833.552
Chile,CHL,2016,1907.811
Chile,CHL,2017,2070.402
Chile,CHL,2018,2124.19
Chile,CHL,2019,2132.098
Chile,CHL,2020,2092.416
Chile,CHL,2021,2408.672
Chile,CHL,2022,2474.982
Chile,CHL,2023,2453.391
China,CHN,2013,539.691
China,CHN,2014,583.041
China,CHN,2015,641.134
China,CHN,2016,683.152
China,CHN,2017,736.561
China,CHN,2018,798.145
China,CHN,2019,880.918
China,CHN,2020,945.304
China,CHN,2021,971.067
